patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0001,1/1/22,MUDU,Muscovy duck,,NA,D24,1/1/22
2022-0002,1/2/22,BDOW,Barred owl,Buladeen,NA,E,1/4/22
2022-0003,1/5/22,EASO,Eastern screech owl,,NA,E,1/20/22
2022-0004,1/8/22,EASO,Eastern screech owl,Wilkesboro,Wilkes,R,2/9/22
2022-0005,1/9/22,HAWO,Hairy woodpecker,Blowing Rock,Watauga,D24,1/10/22
2022-0006,1/12/22,RTHA,Red-tailed hawk,Kingsport,NA,T,1/14/22
2022-0007,1/12/22,AMGO,American goldfinch,Kannapolis,Cabarrus,E,1/21/22
2022-0008,1/14/22,EASO,Eastern screech owl,Linville,Avery,R,2/9/22
2022-0009,1/14/22,SYFL,Eastern cottontail,Boone,Watauga,E,1/20/22
2022-0010,1/21/22,GHOW,Great horned owl,Asheville,Buncombe,E,4/22/22
2022-0011,1/26/22,BDOW,Barred owl,,NA,E,2/7/22
2022-0012,1/29/22,BDOW,Barred owl,Zionville,Watauga,R,3/3/22
2022-0013,1/29/22,YBSA,Yellow-bellied sapsucker,Vilas,Watauga,D,2/1/22
2022-0014,1/31/22,BDOW,Barred owl,Valle Crucis,Watauga,R,2/20/22
2022-0015,1/31/22,GLVO,Southern flying squirrel,Boone,Watauga,D,1/31/22
2022-0016,1/31/22,SYFL,Eastern cottontail,,NA,D,2/2/22
2022-0017,2/2/22,NOCA,Northern cardinal,Hendersonville,Henderson,R,2/28/22
2022-0018,2/2/22,NOCA,Northern cardinal,Morganton,Burke,R,4/1/22
2022-0019,2/2/22,EASO,Eastern screech owl,Rutherfordton,Rutherford,R,3/18/22
2022-0020,2/2/22,EASO,Eastern screech owl,Woodfin,Buncombe,R,3/18/22
2022-0021,2/3/22,EASO,Eastern screech owl,Boone,Watauga,R,2/20/22
2022-0022,2/4/22,EASO,Eastern screech owl,Fletcher,Henderson,R,3/7/22
2022-0023,2/7/22,SYFL,Eastern cottontail,Bakersville,Mitchell,E,2/11/22
2022-0024,2/8/22,BAEA,Bald Eagle,Franklin,Macon,E,2/11/22
2022-0025,2/9/22,BDOW,Barred owl,Lincolnton,Lincoln,E24,2/9/22
2022-0026,2/9/22,DIVI,Virginia opossum,Boone,Watauga,R,3/1/22
2022-0027,2/9/22,SCCA,Eastern gray squirrel,Beech Mountain,Avery,T,2/9/22
2022-0028,2/9/22,EASO,Eastern screech owl,,NA,R,3/24/22
2022-0029,2/10/22,RTHA,Red-tailed hawk,Wilkesboro,Wilkes,E24,2/11/22
2022-0030,2/10/22,TUTI,Tufted titmouse,Hendersonville,Henderson,R,4/1/22
2022-0031,2/10/22,NOCA,Northern cardinal,Mills River,Henderson,R,2/28/22
2022-0032,2/11/22,GHOW,Great horned owl,,NA,E,2/14/22
2022-0033,2/11/22,RTHA,Red-tailed hawk,Sylvia,Jackson,E24,2/11/22
2022-0034,2/11/22,GHOW,Great horned owl,Hendersonville,Henderson,D,2/12/22
2022-0035,2/14/22,DIVI,Virginia opossum,Asheville,Buncombe,E,6/17/22
2022-0036,2/14/22,EASO,Eastern screech owl,Clyde,Haywood,E,2/16/22
2022-0037,2/14/22,EASO,Eastern screech owl,weaverville,Buncombe,R,3/7/22
