found_county,state,state_code,county_count,county_lat,county_lon
Wilkes,NC,37,36,36.1998247,-81.1341351
Watauga,NC,37,193,36.2228105,-81.6863808
Cabarrus,NC,37,2,35.4045503,-80.564371
Avery,NC,37,166,36.0771285,-81.9230523
Buncombe,NC,37,114,35.6292222,-82.5255603
Henderson,NC,37,17,35.3389062,-82.4663918
Burke,NC,37,45,35.7270403,-81.6632108
Rutherford,NC,37,5,35.3994626,-81.9023191
Mitchell,NC,37,59,36.0001181,-82.1349028
Macon,NC,37,2,35.1436639,-83.3977297
Lincoln,NC,37,2,35.4866424,-81.2062724
Jackson,NC,37,7,35.2962391,-83.1388055
Haywood,NC,37,10,35.5456202,-82.9907823
Caldwell,NC,37,36,35.9417876,-81.5262567
Cleveland,NC,37,1,35.330702,-81.5507523
Ashe,NC,37,25,36.4393554,-81.5076569
McDowell,NC,37,34,35.6608869,-82.0482171
Yancey,NC,37,24,35.8875402,-82.3035673
Madison,NC,37,5,35.8482034,-82.6931063
Transylvania,NC,37,4,35.1982216,-82.7724889
Polk,NC,37,2,35.2779217,-82.176176
Orange,NC,37,1,36.0605095,-79.1172679
Alexander,NC,37,9,35.924738,-81.1716315
Catawba,NC,37,20,35.6740563,-81.2107215
Surry,NC,37,3,36.4135582,-80.7013751
Mecklenburg,NC,37,2,35.2356385,-80.8139485
Wake,NC,37,4,35.7979355,-78.6118311
Grayson,VA,51,1,36.6223478,-81.150923
Alleghany,NC,37,5,36.5029951,-81.1340843
Iredell,NC,37,6,35.8101636,-80.8805593
Guilford,NC,37,5,36.0875688,-79.7888515
Greenville,SC,45,1,34.8550021,-82.3356457
Forsyth,NC,37,1,36.1476399,-80.2415712
Pender,NC,37,1,34.5294394,-77.8959525
Davie,NC,37,2,35.9375154,-80.5464948
